# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.9318215380616814,0.8173999890039143,-179.9999391031124,0,3.0,0.0036492558424907878,0.0,0.0,0.0
 0.033931496437612854,1.9300945183859388,0.8173999871683494,-179.9999391031124,0.10179448931283855,2.9999999999999996,0.0036492558424907878,0.0,0.025627050473448217,0.0
 0.048071646441025,1.9283552132744035,0.8173999743193952,-179.99957673277459,0.14421493932307497,2.9999999999999996,0.00717582380140139,0.0,0.06579057201757062,0.0
 0.05897915285818029,1.9266037273542742,0.8173999394436623,-179.99885912168807,0.17693745857454085,3.0,0.010582239420650522,0.0,0.11529050887269444,0.0
 0.06822205318241054,1.9248401652527494,0.8173998715277615,-179.99779350300625,0.20466615954723158,2.999999999999999,0.01387460829750846,0.0,0.1718786104306259,0.0
 0.07640639794278785,1.923064631597028,0.8173997595583034,-179.99638678920155,0.2292191938283635,2.9999999999999982,0.017058815833255515,0.0,0.23416026408046756,0.0
 0.08384234037927983,1.9212772310143078,0.8173995925218985,-179.99464558695695,0.2515270211378395,3.0000000000000036,0.020140420679171028,0.0,0.3011584682892909,0.0
 0.09071372537837295,1.9194780681317885,0.8173993594051578,-179.99257621117556,0.27214117613511885,3.0,0.02312463883778365,0.0,0.3721418923970376,0.0
 0.09714007254038229,1.9176672475766676,0.8173990491946919,-179.9901846981815,0.29142021762114684,2.999999999999998,0.026016460942396746,0.0,0.44653983064507413,0.0
 0.10320421239393789,1.9158448739761444,0.8173986508771113,-179.9874768181983,0.30961263718181364,3.000000000000002,0.0288205497753742,0.0,0.5238941443783502,0.0
 0.1089663136630562,1.9140110519574176,0.8173981534390267,-179.9844580870841,0.32689894098916855,2.999999999999993,0.031541357398631384,0.0,0.6038295334819896,0.0
 0.1144716913469164,1.9121658861476853,0.8173975458670489,-179.9811337774456,0.3434150740407491,2.999999999999995,0.03418307022035751,0.0,0.6860339268918484,0.0
 0.11975546555739174,1.9103094811741463,0.8173968171477886,-179.97750892907516,0.35926639667217514,3.0000000000000027,0.03674966004584575,0.0,0.7702448575653286,0.0
 0.1248454965276908,1.9084419416639993,0.8173959562678563,-179.97358835889548,0.3745364895830723,2.9999999999999947,0.03924489465857971,0.0,0.856239664829598,0.0
 0.12976431633991295,1.9065633722444426,0.8173949522138627,-179.96937667026808,0.38929294901973877,3.0000000000000027,0.04167233461042641,0.0,0.9438281735686826,0.0
 0.13453044698632366,1.9046738775426753,0.8173937939724187,-179.9648782618851,0.4035913409589709,3.0000000000000058,0.044035386417510015,0.0,1.0328471418381076,0.0
 0.13915932731257954,1.9027735621858952,0.8173924705301348,-179.96009733607022,0.41747798193773855,2.999999999999994,0.04633725630817841,0.0,1.123155885495828,0.0
 0.14366398189327187,1.9008625308013019,0.8173909708736216,-179.95503790676577,0.43099194567981547,2.9999999999999876,0.048580999373677825,0.0,1.2146328523774428,0.0
 0.14805551451118312,1.898940888016093,0.8173892839894898,-179.9497038069758,0.44416654353354923,3.0,0.05076952487229944,0.0,1.3071728252103674,0.0
 0.1523434793353585,1.8970087384574679,0.8173873988643503,-179.94409869588216,0.45703043800607535,3.0,0.05290558791056379,0.0,1.4006846545902802,0.0
 0.15653616489038386,1.8950661867526246,0.8173853044848136,-179.93822606556373,0.46960849467115146,3.0000000000000067,0.05499183224522686,0.0,1.4950893824990503,0.0
 0.1606408146009465,1.893113337528762,0.8173829898374904,-179.93208924736257,0.4819224438028394,2.9999999999999933,0.05703074445067228,0.0,1.590318673788342,0.0
 0.1646638003936345,1.8911502954130786,0.8173804439089912,-179.92569141793206,0.4939914011809034,3.0,0.05902472280182452,0.0,1.6863135032501395,0.0
 0.16861076100579508,1.8891771650327733,0.817377655685927,-179.91903560495498,0.5058322830173851,3.000000000000007,0.060976032515724025,0.0,1.7830230400914653,0.0
 0.17248671338314445,1.8871940510150438,0.8173746141549083,-179.91212469256388,0.5174601401494333,3.0000000000000213,0.06288684758957146,0.0,1.8804036879936346,0.0
 0.17629614329360926,1.88520105798709,0.8173713083025458,-179.9049614265111,0.5288884298808277,2.999999999999993,0.0647592323542368,0.0,1.9784182759564517,0.0
 0.1800430797023764,1.883198290576109,0.81736772711545,-179.89754841904113,0.5401292391071291,2.999999999999978,0.06659517341787144,0.0,2.077035343578459,0.0
 0.18373115632399045,1.881185853409301,0.8173638595802319,-179.8898881535482,0.5511934689719712,2.9999999999999925,0.06839655519453396,0.0,2.1762285430572437,0.0
 0.18736366294999998,1.8791638511138633,0.817359694683502,-179.88198298894585,0.5620909888499999,3.000000000000023,0.07016517734153654,0.0,2.275976085929017,0.0
 0.19094358855079993,1.877132388316995,0.8173552214118709,-179.87383516388903,0.5728307656523998,3.0000000000000155,0.07190278029837933,0.0,2.3762602940688873,0.0
 0.19447365770479205,1.875091569645895,0.8173504287519494,-179.8654468007231,0.5834209731143761,3.0,0.0736110106721617,0.0,2.4770671869573775,0.0
 0.19795636157316993,1.8730414997277611,0.8173453056903481,-179.85681990924883,0.5938690847195097,2.999999999999992,0.07529145280926751,0.0,2.5783861142037097,0.0
 0.20139398438440684,1.8709822831897926,0.8173398412136779,-179.84795639032646,0.6041819531532204,2.999999999999992,0.07694563380986807,0.0,2.680209452471016,0.0
 0.20478862619759977,1.8689140246591878,0.8173340243085491,-179.838858039251,0.6143658785927992,3.0,0.07857500309909268,0.0,2.782532307257257,0.0
