# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,15.71262151615212,6.15,0.0,0,-3.0,0,0.0,0.0,0.0
 0.015134386628550035,15.712277941664187,6.15,0.0,-0.0454031598856501,-2.9999999999999996,0,0.0,0.0,0.0
 0.02146718104684094,15.711930256358974,6.15,0.0,-0.06440154314052281,-2.999999999999999,0,0.0,0.0,0.0
 0.026369383456879635,15.711578499576277,6.15,0.0,-0.0791081503706389,-3.000000000000001,0,0.0,0.0,0.0
 0.030537468747185,15.711222710655893,6.15,0.0,-0.09161240624155499,-3.0,0,0.0,0.0,0.0
 0.034240202632823014,15.710862928937615,6.15,0.0,-0.10272060789846903,-2.9999999999999982,0,0.0,0.0,0.0
 0.03761491185582254,15.710499193761239,6.15,0.0,-0.1128447355674676,-3.0,0,0.0,0.0,0.0
 0.04074286592406342,15.710131544466561,6.15,0.0,-0.12222859777219024,-2.999999999999998,0,0.0,0.0,0.0
 0.04367681122932867,15.709760020393377,6.15,0.0,-0.13103043368798598,-2.999999999999995,0,0.0,0.0,0.0
 0.04645324007815216,15.709384660881483,6.15,0.0,-0.13935972023445645,-3.0000000000000027,0,0.0,0.0,0.0
 0.049098614246893005,15.709005505270673,6.15,0.0,-0.147295842740679,-3.0000000000000053,0,0.0,0.0,0.0
 0.051632827099166466,15.708622592900742,6.15,0.0,-0.1548984812974994,-3.0000000000000027,0,0.0,0.0,0.0
 0.054071268036625694,15.708235963111488,6.15,0.0,-0.16221380410987707,-2.9999999999999973,0,0.0,0.0,0.0
 0.056426122256858065,15.707845655242702,6.15,0.0,-0.1692783667705742,-3.000000000000009,0,0.0,0.0,0.0
 0.0587072256650882,15.707451708634183,6.15,0.0,-0.17612167699526463,-3.000000000000006,0,0.0,0.0,0.0
 0.0609226478216157,15.707054162625726,6.15,0.0,-0.18276794346484715,-3.0000000000000093,0,0.0,0.0,0.0
 0.06307910163699773,15.706653056557125,6.15,0.0,-0.18923730491099322,-2.999999999999994,0,0.0,0.0,0.0
 0.06518223880753364,15.706248429768177,6.15,0.0,-0.19554671642260094,-2.9999999999999933,0,0.0,0.0,0.0
 0.0672368676320043,15.705840321598675,6.15,0.0,-0.20171060289601295,-3.0000000000000133,0,0.0,0.0,0.0
 0.069247116732771,15.705428771388418,6.15,0.0,-0.207741350198313,-2.9999999999999862,0,0.0,0.0,0.0
 0.07121656022265535,15.7050138184772,6.15,0.0,-0.21364968066796605,-2.999999999999993,0,0.0,0.0,0.0
 0.07314831484642012,15.704595502204814,6.15,0.0,-0.2194449445392604,-3.000000000000014,0,0.0,0.0,0.0
 0.07504511639034155,15.70417386191106,6.15,0.0,-0.22513534917102468,-3.000000000000007,0,0.0,0.0,0.0
 0.07690938051321879,15.70374893693573,6.15,0.0,-0.2307281415396564,-3.0,0,0.0,0.0,0.0
 0.07874325170451028,15.70332076661862,6.15,0.0,-0.23622975511353092,-3.000000000000015,0,0.0,0.0,0.0
 0.08054864307813736,15.702889390299527,6.15,0.0,-0.24164592923441217,-3.0000000000000075,0,0.0,0.0,0.0
 0.08232726900962721,15.702454847318245,6.15,0.0,-0.2469818070288817,-2.999999999999992,0,0.0,0.0,0.0
 0.08408067212525733,15.702017177014568,6.15,0.0,-0.25224201637577204,-2.999999999999992,0,0.0,0.0,0.0
 0.08581024579006297,15.701576418728294,6.15,0.0,-0.2574307373701889,-2.999999999999968,0,0.0,0.0,0.0
 0.087517252976784,15.701132611799217,6.15,0.0,-0.262551758930352,-2.9999999999999836,0,0.0,0.0,0.0
 0.08920284220055844,15.700685795567134,6.15,0.0,-0.2676085266016753,-3.0,0,0.0,0.0,0.0
 0.09086806105661696,15.700236009371837,6.15,0.0,-0.27260418316985086,-3.0,0,0.0,0.0,0.0
 0.09251386778566006,15.699783292553127,6.15,0.0,-0.2775416033569802,-3.000000000000017,0,0.0,0.0,0.0
 0.09414114120591258,15.699327684450793,6.15,0.0,-0.28242342361773776,-3.000000000000017,0,0.0,0.0,0.0
 0.09575068928379667,15.698869224404637,6.15,0.0,-0.28725206785139007,-3.0000000000000258,0,0.0,0.0,0.0
 0.09734325656380967,15.698407951754449,6.15,0.0,-0.2920297696914291,-3.0,0,0.0,0.0,0.0
 0.09891953063675252,15.697943905840027,6.15,0.0,-0.2967585919102576,-2.999999999999991,0,0.0,0.0,0.0
 0.10048014779366278,15.697477126001166,6.15,0.0,-0.30144044338098835,-2.9999999999999734,0,0.0,0.0,0.0
 0.10202569798652548,15.697007651577664,6.15,0.0,-0.30607709395957644,-2.9999999999999822,0,0.0,0.0,0.0
 0.10355672919648468,15.69653552190931,6.15,0.0,-0.310670187589454,-3.000000000000009,0,0.0,0.0,0.0
 0.10507375129312911,15.696060776335905,6.15,0.0,-0.3152212538793873,-2.9999999999999907,0,0.0,0.0,0.0
 0.10657723945532961,15.695583454197243,6.15,0.0,-0.3197317183659888,-2.9999999999999813,0,0.0,0.0,0.0
 0.10806763721238995,15.695103594833117,6.15,0.0,-0.3242029116371698,-3.0,0,0.0,0.0,0.0
 0.1095453591555985,15.694621237583327,6.15,0.0,-0.32863607746679546,-3.0,0,0.0,0.0,0.0
 0.11101079336250046,15.694136421787663,6.15,0.0,-0.33303238008750136,-3.000000000000019,0,0.0,0.0,0.0
